,SF ID,Dealer ID,Account Creation Date,Account Name,Mailing State,No. of Employees,Residential HVAC Sales Per Year,Years in Business,HVAC Brand #1,HVAC Brand #2,CEL MKT,Currently offers Consumer Financing?,# of Apps 2017,# of Apps 2018,# of Apps 2019,NumofQuotes,NumofQuotes_Approved,NumofQuotes_Declined,NumofQuotes_Funded,Approve_Rate,Decline_Rate,Fund_Rate,Latency_days,quoteCreditScore
40,001U000001cDvkV,A09411,2016-01-12,Ohalloran Heating Plumbing & A/C,MA,2,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
41,001U000001cDtJ0,C025500,2016-01-12,American Htg. & Clg.,IL,2,"100,000-499,999",-,Lennox,Weil McLain,-,Yes,0,0,0,,,,,,,,,
42,001U000001cDtNC,C026200,2016-01-12,Patrick Mechanical Inc.,IL,6,"100,000-499,999",-,MAYTAG,Carrier,-,No,0,0,0,,,,,,,,,
43,001U000001cDtdC,C059700,2016-01-12,Not So Costly Htg & A/C,IN,1,"0-99,999",-,MAYTAG,-,-,No,5,4,1,23.0,2.0,7.0,14.0,0.08695652173913043,0.30434782608695654,0.6086956521739131,458.15581576992753,669.3478260869565
44,001U000001cDwB0,C126109,2016-01-12,Grutsch Plbg & Htg,MN,1,-,-,FRIGIDIARE,-,-,-,0,0,0,,,,,,,,,
45,001U000001cDwLM,C133646,2016-01-12,Ralph P Sita Inc.,MD,6,-,-,FRIGIDIARE,-,-,-,0,0,0,,,,,,,,,
46,001U000001cDwOk,C134158,2016-01-12,ADL Heating & Cooling,MD,1,-,-,FRIGIDIARE,-,-,-,0,0,0,,,,,,,,,
47,001U000001cDtiR,C138942,2016-01-12,One Hour Heating & Air Conditioning,TN,1,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
48,001U000001cDtnR,C145649,2016-01-12,Northfield Heating & Air,IL,6,"100,000-499,999",-,MAYTAG,-,-,No,0,0,0,3.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,241.2791679012346,726.6666666666666
49,001U000001cDtwQ,C151367,2016-01-12,Dowe & Wagner,IL,6,"500,000-999,999",-,MAYTAG,Bryant,-,No,0,0,0,,,,,,,,,
50,001U000001cDwRU,C15338,2016-01-12,Air Solutions Heating and Cooling Inc.,FL,24,"100,000-499,999",-,Goodman,Coleman,-,Yes,0,0,0,,,,,,,,,
51,001U000001cDwS8,C15339,2016-01-12,Airaide LLC,TX,7,"100,000-499,999",-,Goodman,Carrier,-,Yes,0,0,0,10.0,1.0,2.0,7.0,0.1,0.2,0.7,154.40723720601852,707.6
52,001U000001cDwZp,C15340,2016-01-12,Daniel's Heat & Air,TX,3,"100,000-499,999",-,Goodman,-,-,No,0,0,0,,,,,,,,,
53,001U000001cDwad,C15341,2016-01-12,Charlie DelRoss Plumbing and Heating,NJ,4,"500,000-999,999",-,-,-,-,No,0,2,1,4.0,0.0,1.0,3.0,0.0,0.25,0.75,833.3184401041667,716.0
54,001U000001cDwXt,C15342,2016-01-12,Braco Electrical and Contracting,MO,3,"100,000-499,999",-,-,-,-,Yes,1,0,0,2.0,0.0,1.0,1.0,0.0,0.5,0.5,289.60314083912033,722.0
55,001U000001cDwbK,C15343,2016-01-12,"Studley Heating & Air, LLC",VA,1,"100,000-499,999",-,Luxaire,York,-,Yes,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,51.73121489583333,654.0
56,001U000001cDuLB,C154782,2016-01-12,MZ Systems,IL,8,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
57,001U000001cDuYG,C155733,2016-01-12,Target Mechanical Inc.,IL,3,-,-,MAYTAG,Lennox,-,Yes,0,0,0,,,,,,,,,
58,001U000001cELVX,A04499,2016-01-13,G & L Services,TN,8,"100,000-499,999",14,Frigidaire,-,-,Yes,0,2,1,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1107.235479652778,760.3333333333334
59,001U000001cELk0,A05833,2016-01-13,Fire & Ice Heating & Cooling,MO,5,"100,000-499,999",6,FRIGIDIARE,Frigidaire,-,-,0,0,0,,,,,,,,,
60,001U000001cEO7u,A07337,2016-01-13,Fire & Ice Heating And A/C,PA,1,-,-,Frigidaire,Westinghouse,-,-,0,1,0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,575.6143060416666,711.5
61,001U000001cELxQ,A08335,2016-01-13,Shiloh Heating & Cooling,AZ,2,"100,000-499,999",-,FRIGIDIARE,American Standard,-,No,0,0,0,,,,,,,,,
62,001U000001cEM8d,A08866,2016-01-13,Casey's Heating & Cooling,IA,3,-,-,FRIGIDIARE,-,-,-,0,0,0,,,,,,,,,
63,001U000001cEMSr,A09328,2016-01-13,Corey Heating & Air,IL,3,"0-99,999",-,FRIGIDIARE,Rheem,-,No,0,0,0,,,,,,,,,
64,001U000001cENWq,A09344,2016-01-13,General Construction Master Corp,FL,20,"500,000-999,999",-,Rheem,Goodman,-,Yes,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,356.48085320601854,676.0
65,001U000001cEMag,A09417,2016-01-13,Allen Mechanical Heating & Cooling,AR,4,"100,000-499,999",-,FRIGIDIARE,-,-,No,0,0,0,,,,,,,,,
66,001U000001cENEa,A09433,2016-01-13,Lutz Mechanical,MI,0,"0-99,999",-,FRIGIDIARE,Fujitsu,-,No,0,0,0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,139.86335941550925,634.5
